Nome;Número
Sucesso1;+258869189146
Sucesso2;+258861588737
Sucesso3;+258865612226
Sucesso4;+258862460090
Sucesso5;+258864225529
Sucesso6;+258869115849
Sucesso7;+258869934010
Sucesso8;+258869965459
Sucesso9;+258861276089
Sucesso10;+258869990804
Sucesso11;+258868259704
Sucesso12;+258868852949
Sucesso13;+258869296265
Sucesso14;+258869924717
Sucesso15;+258864273699
Sucesso16;+258865236236
Sucesso17;+258863863560
Sucesso18;+258869268849
Sucesso19;+258868111655
Sucesso20;+258865641748
Sucesso21;+258867345956
Sucesso22;+258866642358
Sucesso23;+258863511669
Sucesso24;+258864242129
Sucesso25;+258863928344
Sucesso26;+258869767599
Sucesso27;+258866634590
Sucesso28;+258862636001
Sucesso29;+258865417133
Sucesso30;+258868341322
Sucesso31;+258864995355
Sucesso32;+258863617879
Sucesso33;+258865252238
Sucesso34;+258861958202
Sucesso35;+258862354837
Sucesso36;+258865772006
Sucesso37;+258862875136
Sucesso38;+258868495433
Sucesso39;+258863810579
Sucesso40;+258868136423
Sucesso41;+258861656161
Sucesso42;+258864156311
Sucesso43;+258862263815
Sucesso44;+258863718202
Sucesso45;+258862950450
Sucesso46;+258862085798
Sucesso47;+258865522796
Sucesso48;+258865363489
Sucesso49;+258866144231
Sucesso50;+258864287953
Sucesso51;+258862776418
Sucesso52;+258867475143
Sucesso53;+258865195225
Sucesso54;+258865878221
Sucesso55;+258868918680
Sucesso56;+258863292004
Sucesso57;+258868860013
Sucesso58;+258867158108
Sucesso59;+258869922338
Sucesso60;+258863261992
Sucesso61;+258867709355
Sucesso62;+258867903915
Sucesso63;+258868329421
Sucesso64;+258869237300
Sucesso65;+258869314530
Sucesso66;+258865802010
Sucesso67;+258864889399
Sucesso68;+258862387072
Sucesso69;+258869747665
Sucesso70;+258869499639
Sucesso71;+258867256232
Sucesso72;+258868263274
Sucesso73;+258862631551
Sucesso74;+258863588119
Sucesso75;+258866998739
Sucesso76;+258863526760
Sucesso77;+258863315217
Sucesso78;+258869593550
Sucesso79;+258863873751
Sucesso80;+258862224936
Sucesso81;+258861497395
Sucesso82;+258865209651
Sucesso83;+258867666979
Sucesso84;+258861738600
Sucesso85;+258869467058
Sucesso86;+258865168648
Sucesso87;+258863544982
Sucesso88;+258868999077
Sucesso89;+258864426313
Sucesso90;+258864409198
Sucesso91;+258865776417
Sucesso92;+258865543298
Sucesso93;+258865660624
Sucesso94;+258862299240
Sucesso95;+258866933304
Sucesso96;+258863824773
Sucesso97;+258869417617
Sucesso98;+258861295347
Sucesso99;+258865767940
Sucesso100;+258863046591
Sucesso101;+258861233010
Sucesso102;+258867063956
Sucesso103;+258865224325
Sucesso104;+258867455803
Sucesso105;+258861149559
Sucesso106;+258869768918
Sucesso107;+258862315463
Sucesso108;+258862582465
Sucesso109;+258868427449
Sucesso110;+258864809177
Sucesso111;+258868656518
Sucesso112;+258869530543
Sucesso113;+258867516455
Sucesso114;+258862936863
Sucesso115;+258863862360
Sucesso116;+258865307302
Sucesso117;+258869703854
Sucesso118;+258861385856
Sucesso119;+258866738993
Sucesso120;+258861706380
Sucesso121;+258869920985
Sucesso122;+258868052674
Sucesso123;+258861903030
Sucesso124;+258865944083
Sucesso125;+258865460625
Sucesso126;+258863589402
Sucesso127;+258868609367
Sucesso128;+258867716957
Sucesso129;+258861809410
Sucesso130;+258864214688
Sucesso131;+258864737602
Sucesso132;+258861770801
Sucesso133;+258865574718
Sucesso134;+258861492445
Sucesso135;+258861658721
Sucesso136;+258862829499
Sucesso137;+258865571061
Sucesso138;+258862265598
Sucesso139;+258867102014
Sucesso140;+258868550115
Sucesso141;+258867180601
Sucesso142;+258867839804
Sucesso143;+258866428177
Sucesso144;+258863317878
Sucesso145;+258861179280
Sucesso146;+258868222376
Sucesso147;+258864116463
Sucesso148;+258867749588
Sucesso149;+258866995714
Sucesso150;+258865455853
Sucesso151;+258866863657
Sucesso152;+258864931780
Sucesso153;+258867416489
Sucesso154;+258864574045
Sucesso155;+258867278037
Sucesso156;+258863714163
Sucesso157;+258866741756
Sucesso158;+258863547808
Sucesso159;+258869355932
Sucesso160;+258869594947
Sucesso161;+258864246005
Sucesso162;+258861829485
Sucesso163;+258869364626
Sucesso164;+258864956228
Sucesso165;+258866682153
Sucesso166;+258867955336
Sucesso167;+258869447235
Sucesso168;+258864835226
Sucesso169;+258866355627
Sucesso170;+258867190682
Sucesso171;+258864361663
Sucesso172;+258862981390
Sucesso173;+258861893592
Sucesso174;+258867434501
Sucesso175;+258862707150
Sucesso176;+258862485978
Sucesso177;+258863633367
Sucesso178;+258862878979
Sucesso179;+258865412849
Sucesso180;+258864830509
Sucesso181;+258869708492
Sucesso182;+258862184618
Sucesso183;+258864018999
Sucesso184;+258862111492
Sucesso185;+258864735176
Sucesso186;+258865994678
Sucesso187;+258863937508
Sucesso188;+258863206192
Sucesso189;+258868898822
Sucesso190;+258866910773
Sucesso191;+258869555151
Sucesso192;+258869044809
Sucesso193;+258864487801
Sucesso194;+258865052941
Sucesso195;+258866517032
Sucesso196;+258862288146
Sucesso197;+258864390917
Sucesso198;+258868854229
Sucesso199;+258866421153
Sucesso200;+258863646218
Sucesso201;+258862091843
Sucesso202;+258866912590
Sucesso203;+258868364851
Sucesso204;+258864655911
Sucesso205;+258863192260
Sucesso206;+258861001893
Sucesso207;+258868623045
Sucesso208;+258862077931
Sucesso209;+258869050958
Sucesso210;+258862725473
